text,lemma,pos,tag,dependency,morph,utterance_id,speaker_code
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476492,CHI
.,.,PUNCT,PUNCT,punct,,17476492,CHI
xxx,xxx,ADJ,ADJ,ROOT,Number=Sing,17476506,CHI
.,.,PUNCT,PUNCT,ROOT,,17476506,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476520,CHI
.,.,PUNCT,PUNCT,punct,,17476520,CHI
yyy,yyy,AUX,AUX,advmod,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476540,CHI
yyy,yyy,ADV,ADV,advmod,Polarity=Neg,17476540,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476540,CHI
.,.,PUNCT,PUNCT,punct,,17476540,CHI
yyy,yyy,AUX,AUX,expl:pass,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476556,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476556,CHI
.,.,PUNCT,PUNCT,punct,,17476556,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476578,CHI
.,.,PUNCT,PUNCT,punct,,17476578,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476587,CHI
.,.,PUNCT,PUNCT,punct,,17476587,CHI
tu,tu,PRON,PRON,ROOT,Number=Sing|Person=1,17476604,MOT
chantes,chante,ADJ,ADJ,amod,Number=Plur,17476604,MOT
?,?,PUNCT,PUNCT,punct,,17476604,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476615,CHI
.,.,PUNCT,PUNCT,punct,,17476615,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476629,CHI
.,.,PUNCT,PUNCT,punct,,17476629,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476654,CHI
.,.,PUNCT,PUNCT,punct,,17476654,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476667,CHI
.,.,PUNCT,PUNCT,punct,,17476667,CHI
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17476681,MOT
t',te,PRON,PRON,nsubj,Number=Sing|Person=1,17476681,MOT
en,en,PRON,PRON,iobj,Person=3,17476681,MOT
vas,aller,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476681,MOT
?,?,PUNCT,PUNCT,punct,,17476681,MOT
là,là,ADV,ADV,ROOT,,17476697,CHI
.,.,PUNCT,PUNCT,punct,,17476697,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476707,CHI
.,.,PUNCT,PUNCT,punct,,17476707,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476719,CHI
.,.,PUNCT,PUNCT,punct,,17476719,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476735,CHI
.,.,PUNCT,PUNCT,punct,,17476735,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476745,CHI
.,.,PUNCT,PUNCT,punct,,17476745,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476753,CHI
.,.,PUNCT,PUNCT,punct,,17476753,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17476767,CHI
.,.,PUNCT,PUNCT,punct,,17476767,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17476777,CHI
.,.,PUNCT,PUNCT,punct,,17476777,CHI
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17476786,MOT
remontes,remonter,VERB,VERB,ROOT,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,17476786,MOT
?,?,PUNCT,PUNCT,punct,,17476786,MOT
ah,ah,CCONJ,CCONJ,ROOT,,17476797,CHI
.,.,PUNCT,PUNCT,punct,,17476797,CHI
ah,ah,CCONJ,CCONJ,ROOT,,17476810,MOT
.,.,PUNCT,PUNCT,punct,,17476810,MOT
